subject,condition,task,task_name,n_trials,n_valid_delay,mean_eeg_erd_onset_ms,std_eeg_erd_onset_ms,mean_emg_onset_ms,std_emg_onset_ms,mean_delay_ms,std_delay_ms,mean_xcorr_lag_ms,std_xcorr_lag_ms
1,free,0,Task1,9,9,18.333333333333332,114.2852182528918,150.0,63.50852961085884,131.66666666666666,124.02956636759372,-26.666666666666668,221.2088003071608
1,free,1,Task2,10,10,-46.0,87.11486669908874,81.5,68.8131528125256,127.5,114.4606919426927,9.5,311.62838445815555
1,free,2,Task3,10,9,-9.444444444444445,141.8027668677802,119.5,57.20358380381425,131.66666666666666,152.62517631257447,228.0,367.1253192031299
2,free,0,Task1,9,9,117.22222222222223,232.82219146702096,52.77777777777778,90.74111866890307,-64.44444444444444,261.57051783882133,51.666666666666664,399.92360381563986
2,free,1,Task2,10,10,-65.5,85.3946719649417,63.0,59.924953066314536,128.5,92.49459443664803,89.5,267.0060860729583
2,free,2,Task3,10,9,-26.11111111111111,88.78118474897764,115.0,85.58621384311844,135.55555555555554,111.69015783865959,28.5,327.4908395665442
4,free,0,Task1,10,8,-10.0,85.87782018658834,94.0,31.76476034853718,110.0,92.80355596635293,192.5,328.52891805745196
4,free,1,Task2,10,10,-62.5,50.50990001969911,139.5,30.858548248418945,202.0,68.5638388656878,38.0,366.6415142888214
4,free,2,Task3,10,10,10.5,161.1745947722531,155.5,48.654393429576324,145.0,167.2572868367773,-133.0,186.4296113818832
5,free,0,Task1,10,10,33.0,191.6141957162882,133.0,85.9127464349732,100.0,207.81000938357133,-218.5,219.14664040317842
5,free,1,Task2,10,10,-61.0,49.33558553417604,209.0,99.443451267542,270.0,117.79218989389746,-96.0,413.04842331135944
5,free,2,Task3,10,10,-22.0,112.27644454648535,237.5,112.89929140610228,259.5,152.19149122076436,-230.5,345.4450028586316
6,free,0,Task1,9,7,0.7142857142857143,90.09632033982025,82.77777777777777,106.59140863625795,105.0,155.67823960243862,-36.111111111111114,227.0190615807132
6,free,1,Task2,10,8,15.0,120.3380654655874,99.5,88.97893009021855,69.375,192.31220547588757,36.0,262.8668864653743
6,free,2,Task3,10,10,-47.0,56.4003546088143,120.5,58.54271944486351,167.5,77.91822636585101,183.5,352.71128419714614
7,free,0,Task1,10,9,40.55555555555556,189.66995375658394,151.5,58.268773798665094,115.0,205.95306908775763,-51.0,283.3266665882334
7,free,1,Task2,10,8,-43.125,91.20504029383464,154.0,67.07458535093602,186.25,119.05224693385674,125.5,293.28697550351603
7,free,2,Task3,10,10,-15.5,129.60420517869008,166.0,54.0740233383831,181.5,141.06824589538215,56.0,353.6014705851773
8,free,0,Task1,10,9,-60.0,60.0,141.0,114.88690090693542,187.77777777777777,119.67806610307856,47.5,428.59217211703714
8,free,1,Task2,10,10,-22.0,76.16429609731846,192.5,72.91261893527073,214.5,125.16888591019735,94.5,481.76991396308676
8,free,2,Task3,10,9,128.88888888888889,222.9944914339288,269.0,137.7461433216916,139.44444444444446,174.74496407374892,-179.5,180.65782573694392
9,free,0,Task1,10,10,-60.0,70.78135347674555,165.0,50.6458290484024,225.0,97.77525249264254,-21.5,318.43405910800436
9,free,1,Task2,9,9,-36.111111111111114,101.91984262638779,184.44444444444446,61.34802561544732,220.55555555555554,126.56672470467558,-77.22222222222223,307.8970887877159
9,free,2,Task3,10,10,-15.0,134.12680567284082,165.5,81.2542306590863,180.5,133.1437193411691,-109.5,395.74265628056827
10,free,0,Task1,10,10,-43.5,83.45807330630153,169.0,46.08687448721165,212.5,83.10385069297331,-27.0,322.07297309771275
10,free,1,Task2,10,10,-8.0,82.34682750416071,174.0,56.42694391866354,182.0,87.72684879784524,-166.0,289.28186946298587
10,free,2,Task3,10,9,-72.22222222222223,44.47915311388466,161.5,113.22654282455153,234.44444444444446,101.77438131159543,-78.5,310.62074946790017
